word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos
the,1,100.0,7.73,2,79.07,7.55,A1,determiner
to,2,50.09,7.43,3,59.4,7.42,A1,"infinitive-to, preposition"
and,3,47.86,7.41,5,36.73,7.21,A1,conjunction
of,4,46.74,7.4,7,30.97,7.14,A1,preposition
a,5,42.64,7.36,,,,A1,determiner
in,6,34.64,7.27,9,25.49,7.05,A1,"adverb, preposition"
i,7,22.91,7.09,,,,A1,pronoun
is,8,21.79,7.07,8,25.71,7.06,A1,be-verb
for,9,18.99,7.01,15,17.97,6.9,A1,"conjunction, preposition"
that,10,18.99,7.01,6,35.44,7.2,A1,"adverb, conjunction, determiner, pronoun"
you,11,17.78,6.98,1,100.0,7.65,A1,pronoun
it,12,16.59,6.95,4,47.35,7.32,A1,"noun, pronoun"
on,13,15.14,6.91,17,16.75,6.87,A1,"adverb, preposition"
with,14,13.18,6.85,29,13.22,6.77,A1,preposition
this,15,12.31,6.82,13,19.94,6.95,A1,"determiner, pronoun"
was,16,12.31,6.82,21,15.29,6.83,A1,be-verb
be,17,11.49,6.79,24,14.63,6.81,A1,be-verb
as,18,10.97,6.77,60,6.23,6.44,A1,"conjunction, preposition"
are,19,10.24,6.74,25,14.6,6.81,A1,be-verb
have,20,9.55,6.71,18,16.55,6.87,A1,have-verb
at,21,9.33,6.7,46,8.45,6.57,A1,preposition
he,22,9.12,6.69,14,19.16,6.93,A1,pronoun
not,23,9.12,6.69,23,14.81,6.82,A1,adverb
by,24,8.51,6.66,97,3.79,6.23,A1,preposition
but,25,7.95,6.63,30,12.61,6.75,B1,"conjunction, preposition"
from,26,7.95,6.63,66,5.94,6.42,A1,preposition
my,27,6.93,6.57,16,17.16,6.88,A1,determiner
or,28,6.46,6.54,85,4.4,6.29,A1,conjunction
we,29,6.46,6.54,11,23.47,7.02,A1,pronoun
an,30,6.31,6.53,73,5.03,6.35,A1,determiner
your,31,6.31,6.53,19,16.02,6.85,A1,determiner
all,32,6.16,6.52,31,12.31,6.74,A1,"adverb, determiner, pronoun"
so,33,6.16,6.52,32,11.93,6.72,A1,"adverb, conjunction"
his,34,6.03,6.51,68,5.79,6.41,A1,"determiner, pronoun"
they,35,5.88,6.5,36,10.63,6.67,A1,pronoun
me,36,5.62,6.48,12,22.39,7.0,A1,pronoun
if,37,5.49,6.47,41,9.14,6.61,A1,conjunction
one,38,5.49,6.47,50,7.86,6.54,A2,"determiner, number, pronoun"
can,39,5.36,6.46,28,13.29,6.77,A2,"modal auxiliary, noun"
will,40,5.25,6.45,56,6.84,6.48,B2,"modal auxiliary, noun"
just,41,5.01,6.43,33,11.58,6.71,A1,adverb
like,42,4.79,6.41,37,10.36,6.66,A1,"conjunction, preposition, verb"
about,43,4.67,6.4,44,8.64,6.58,A1,"adverb, preposition"
up,44,4.56,6.39,45,8.54,6.58,A1,"adverb, preposition"
out,45,4.47,6.38,43,8.72,6.59,A1,adverb
what,46,4.47,6.38,10,23.97,7.03,A1,"determiner, pronoun"
has,47,4.36,6.37,100,3.6,6.2,A1,have-verb
when,48,4.36,6.37,70,5.32,6.37,A1,"adverb, conjunction"
more,49,4.26,6.36,102,3.51,6.19,A1,"adverb, determiner, pronoun"
do,50,4.17,6.35,20,15.35,6.83,A1,do-verb
no,51,4.17,6.35,22,15.2,6.83,A1,"adverb, determiner"
were,52,4.08,6.34,81,4.57,6.31,A1,be-verb
who,53,4.08,6.34,64,6.03,6.43,A1,pronoun
had,54,3.99,6.33,84,4.43,6.29,A1,have-verb
it's,55,3.99,6.33,,,,,
their,56,3.99,6.33,143,2.09,5.97,A1,determiner
there,57,3.8,6.31,34,10.94,6.69,A1,adverb
her,58,3.72,6.3,53,7.49,6.52,A1,"determiner, pronoun"
which,59,3.72,6.3,189,1.47,5.81,A1,"determiner, pronoun"
time,60,3.63,6.29,72,5.05,6.35,B2,"noun, verb"
get,61,3.56,6.28,38,10.02,6.65,A1,verb
been,62,3.46,6.27,86,4.39,6.29,A2,be-verb
would,63,3.46,6.27,78,4.66,6.32,A1,modal auxiliary
she,64,3.39,6.26,39,9.65,6.63,A1,pronoun
new,65,3.31,6.25,168,1.77,5.89,A1,adjective
people,66,3.31,6.25,109,3.08,6.14,A1,noun
how,67,3.24,6.24,54,7.44,6.52,A1,adverb
don't,68,2.94,6.2,,,,,
some,69,2.94,6.2,92,4.05,6.26,A1,"determiner, pronoun"
also,70,2.89,6.19,291,0.9,5.6,A1,adverb
them,71,2.89,6.19,79,4.61,6.31,A1,pronoun
now,72,2.81,6.18,48,7.99,6.55,B2,"adverb, conjunction"
other,73,2.7,6.16,149,2.01,5.95,A2,"determiner, pronoun"
i'm,74,2.63,6.15,,,,,
its,75,2.57,6.14,391,0.63,5.44,A1,"determiner, pronoun"
our,76,2.57,6.14,87,4.14,6.26,A1,determiner
than,77,2.51,6.13,157,1.95,5.94,A1,"conjunction, preposition"
good,78,2.46,6.12,63,6.05,6.43,B2,"adjective, noun"
only,79,2.46,6.12,108,3.08,6.14,A1,"adjective, adverb"
after,80,2.4,6.11,153,1.99,5.95,A1,"adverb, conjunction, preposition"
first,81,2.4,6.11,132,2.28,6.01,A1,"adjective, adverb"
him,82,2.4,6.11,47,8.44,6.57,A1,pronoun
into,83,2.4,6.11,133,2.28,6.0,A1,preposition
know,84,2.35,6.1,27,13.52,6.78,A1,verb
see,85,2.35,6.1,61,6.19,6.44,A1,verb
two,86,2.35,6.1,124,2.66,6.07,A1,number
make,87,2.23,6.08,105,3.35,6.17,A1,"noun, verb"
over,88,2.23,6.08,110,3.06,6.13,A1,"adverb, preposition"
think,89,2.23,6.08,59,6.39,6.45,A1,verb
any,90,2.18,6.07,123,2.67,6.07,A1,"determiner, pronoun"
then,91,2.18,6.07,83,4.43,6.29,A1,adverb
could,92,2.14,6.06,95,3.86,6.23,A1,modal auxiliary
back,93,2.05,6.04,75,4.88,6.34,B1,"adjective, adverb, noun, verb"
these,94,2.05,6.04,130,2.37,6.02,A1,"determiner, pronoun"
us,95,2.05,6.04,77,4.68,6.32,A1,pronoun
want,96,2.05,6.04,58,6.78,6.48,A1,"noun, verb"
because,97,1.99,6.03,111,3.06,6.13,A1,conjunction
go,98,1.99,6.03,40,9.51,6.63,A1,"noun, verb"
well,99,1.99,6.03,52,7.5,6.52,A1,"adjective, adverb"
said,100,1.9,6.01,117,2.84,6.1,,
way,101,1.9,6.01,103,3.47,6.19,A1,noun
1,102,1.86,6.0,,,,,
2,103,1.86,6.0,,,,,
most,104,1.86,6.0,269,0.98,5.64,A2,"adverb, determiner, pronoun"
much,105,1.86,6.0,126,2.57,6.06,A1,"adverb, determiner, pronoun"
very,106,1.86,6.0,106,3.28,6.16,A1,"adjective, adverb"
where,107,1.86,6.0,80,4.59,6.31,A1,"adverb, conjunction"
even,108,1.82,5.99,125,2.59,6.06,A2,"adjective, adverb"
should,109,1.82,5.99,115,2.86,6.1,A1,modal auxiliary
may,110,1.78,5.98,215,1.3,5.76,A1,"modal auxiliary, noun"
here,111,1.74,5.97,35,10.9,6.68,A1,adverb
need,112,1.74,5.97,98,3.61,6.21,A2,"modal auxiliary, noun, verb"
really,113,1.74,5.97,90,4.08,6.26,A1,adverb
did,114,1.7,5.96,62,6.05,6.43,A1,do-verb
right,115,1.7,5.96,42,8.95,6.6,A2,"adjective, adverb, noun"
work,116,1.7,5.96,142,2.12,5.97,A1,"noun, verb"
year,117,1.7,5.96,354,0.72,5.51,A1,noun
years,118,1.7,5.96,173,1.67,5.87,,
being,119,1.66,5.95,207,1.34,5.78,A2,noun
day,120,1.66,5.95,140,2.15,5.98,A1,noun
too,121,1.66,5.95,101,3.55,6.2,A1,adverb
going,122,1.62,5.94,71,5.28,6.37,,
before,123,1.58,5.93,148,2.01,5.95,A1,"adverb, conjunction, preposition"
off,124,1.58,5.93,120,2.78,6.09,B1,"adjective, adverb, preposition"
why,125,1.58,5.93,65,5.98,6.42,A1,adverb
made,126,1.55,5.92,186,1.51,5.83,,
still,127,1.55,5.92,135,2.22,5.99,A2,"adjective, adverb"
take,128,1.55,5.92,82,4.56,6.31,A1,"noun, verb"
3,129,1.51,5.91,,,,,
got,130,1.51,5.91,57,6.84,6.48,,
many,131,1.51,5.91,247,1.09,5.69,A1,"determiner, pronoun"
never,132,1.51,5.91,107,3.23,6.16,A1,adverb
those,133,1.48,5.9,163,1.84,5.91,A1,"determiner, pronoun"
life,134,1.45,5.89,137,2.17,5.98,A1,noun
say,135,1.45,5.89,93,4.01,6.25,A1,"noun, verb"
world,136,1.45,5.89,218,1.29,5.76,A1,noun
down,137,1.41,5.88,104,3.4,6.18,A2,"adjective, adverb, preposition"
great,138,1.41,5.88,162,1.9,5.93,A1,adjective
through,139,1.38,5.87,206,1.35,5.78,A1,"adverb, preposition"
you're,140,1.38,5.87,,,,,
last,141,1.35,5.86,164,1.83,5.91,B1,"adverb, determiner, pronoun, verb"
s,142,1.35,5.86,,,,,
that's,143,1.35,5.86,,,,,
while,144,1.35,5.86,301,0.89,5.6,B1,"conjunction, noun"
best,145,1.29,5.84,251,1.07,5.68,A1,"adjective, adverb"
such,146,1.29,5.84,288,0.91,5.6,A2,"determiner, pronoun"
love,147,1.23,5.82,114,2.88,6.11,A1,"noun, verb"
man,148,1.23,5.82,91,4.08,6.26,A1,noun
home,149,1.2,5.81,159,1.93,5.93,A1,"adverb, noun"
long,150,1.2,5.81,172,1.72,5.88,A2,"adjective, adverb"
look,151,1.2,5.81,76,4.68,6.32,A1,"noun, verb"
something,152,1.2,5.81,99,3.61,6.2,A1,pronoun
use,153,1.2,5.81,300,0.89,5.6,A1,"noun, verb"
can't,154,1.18,5.8,,,,,
same,155,1.18,5.8,230,1.21,5.73,A1,"adjective, adverb, pronoun"
used,156,1.18,5.8,282,0.92,5.61,A2,adjective
both,157,1.15,5.79,276,0.94,5.62,A1,"adverb, determiner, pronoun"
every,158,1.15,5.79,204,1.35,5.78,A1,determiner
4,159,1.12,5.78,,,,,
am,160,1.12,5.78,121,2.73,6.08,A1,be-verb
come,161,1.12,5.78,51,7.66,6.53,A1,verb
part,162,1.12,5.78,370,0.67,5.47,B2,"noun, verb"
state,163,1.12,5.78,699,0.28,5.1,B2,"adjective, noun, verb"
three,164,1.12,5.78,221,1.27,5.75,A1,number
around,165,1.1,5.77,177,1.64,5.86,A1,"adverb, preposition"
between,166,1.1,5.77,458,0.53,5.37,A1,preposition
always,167,1.07,5.76,170,1.75,5.89,A1,adverb
better,168,1.07,5.76,165,1.81,5.9,A2,"adjective, adverb"
find,169,1.07,5.76,136,2.18,5.99,A1,verb
5,170,1.05,5.75,,,,,
help,171,1.05,5.75,131,2.31,6.01,A1,"noun, verb"
high,172,1.05,5.75,488,0.49,5.33,A2,"adjective, adverb"
little,173,1.05,5.75,112,3.02,6.13,B1,"adjective, adverb, determiner, pronoun"
old,174,1.05,5.75,187,1.5,5.82,A1,adjective
since,175,1.05,5.75,302,0.88,5.59,A2,"adverb, conjunction, preposition"
another,176,1.02,5.74,224,1.27,5.75,A2,"determiner, pronoun"
does,177,1.02,5.74,175,1.66,5.87,A1,do-verb
own,178,1.02,5.74,229,1.22,5.74,B1,"adjective, pronoun, verb"
things,179,1.02,5.74,169,1.75,5.89,,
under,180,1.0,5.73,375,0.66,5.47,A1,preposition
during,181,0.98,5.72,738,0.26,5.06,A2,preposition
game,182,0.98,5.72,446,0.55,5.39,A1,noun
i've,183,0.98,5.72,,,,,
thing,184,0.98,5.72,129,2.42,6.03,A1,noun
give,185,0.96,5.71,119,2.82,6.1,A1,verb
house,186,0.96,5.71,203,1.35,5.78,A1,noun
place,187,0.96,5.71,180,1.55,5.84,B1,"noun, verb"
school,188,0.96,5.71,318,0.83,5.57,A1,noun
again,189,0.93,5.7,145,2.05,5.96,A1,adverb
next,190,0.93,5.7,236,1.17,5.71,B2,"adverb, determiner, pronoun"
each,191,0.91,5.69,351,0.74,5.51,A1,"determiner, pronoun"
mr,192,0.91,5.69,448,0.54,5.38,,
without,193,0.91,5.69,263,1.01,5.65,A2,preposition
against,194,0.89,5.68,425,0.57,5.41,A2,preposition
didn't,195,0.89,5.68,,,,,
end,196,0.89,5.68,321,0.82,5.56,A2,"noun, verb"
found,197,0.89,5.68,235,1.17,5.72,B2,verb
must,198,0.89,5.68,147,2.02,5.95,A1,modal auxiliary
show,199,0.89,5.68,231,1.21,5.73,A1,"noun, verb"
big,200,0.87,5.67,190,1.45,5.81,A1,adjective
feel,201,0.87,5.67,182,1.54,5.84,A1,"noun, verb"
sure,202,0.87,5.67,128,2.46,6.04,A2,"adjective, adverb"
team,203,0.87,5.67,505,0.47,5.32,A1,noun
ever,204,0.85,5.66,181,1.54,5.84,A2,adverb
family,205,0.85,5.66,261,1.02,5.66,A1,noun
keep,206,0.85,5.66,171,1.73,5.89,A1,verb
might,207,0.85,5.66,220,1.28,5.75,A2,modal auxiliary
please,208,0.85,5.66,113,2.93,6.11,B1,"adverb, verb"
put,209,0.85,5.66,161,1.92,5.93,A1,verb
money,210,0.81,5.64,176,1.64,5.86,A1,noun
free,211,0.8,5.63,494,0.48,5.33,B2,"adjective, adverb, verb"
second,212,0.8,5.63,366,0.67,5.48,A2,"adjective, adverb, noun, pronoun"
someone,213,0.8,5.63,197,1.39,5.79,A1,pronoun
away,214,0.78,5.62,156,1.96,5.94,A1,adverb
left,215,0.78,5.62,210,1.32,5.77,A2,"adjective, adverb, noun"
number,216,0.78,5.62,432,0.57,5.4,A1,noun
city,217,0.76,5.61,478,0.5,5.34,A1,noun
days,218,0.76,5.61,304,0.88,5.59,,
lot,219,0.76,5.61,191,1.43,5.8,A1,"adverb, noun, pronoun"
name,220,0.76,5.61,179,1.58,5.85,B1,"noun, verb"
night,221,0.76,5.61,160,1.93,5.93,A1,noun
play,222,0.76,5.61,324,0.81,5.56,A1,"noun, verb"
until,223,0.76,5.61,338,0.78,5.54,A1,"conjunction, preposition"
company,224,0.74,5.6,575,0.38,5.22,A2,noun
doing,225,0.74,5.6,127,2.54,6.05,A1,do-verb
few,226,0.74,5.6,329,0.8,5.55,B1,"determiner, pronoun"
he's,227,0.74,5.6,,,,,
let,228,0.74,5.6,67,5.92,6.42,A1,verb
real,229,0.74,5.6,262,1.02,5.66,A1,"adjective, adverb"
6,230,0.72,5.59,,,,,
called,231,0.72,5.59,281,0.92,5.61,,
different,232,0.72,5.59,404,0.61,5.43,A1,adjective
having,233,0.72,5.59,358,0.72,5.5,,
set,234,0.72,5.59,429,0.57,5.4,A1,"noun, verb"
thought,235,0.72,5.59,158,1.94,5.94,A2,noun
done,236,0.71,5.58,192,1.42,5.8,A2,do-verb
however,237,0.71,5.58,1258,0.14,4.79,A2,adverb
getting,238,0.69,5.57,237,1.15,5.71,,
god,239,0.69,5.57,141,2.13,5.97,B2,noun
government,240,0.69,5.57,875,0.21,4.98,A2,noun
group,241,0.69,5.57,834,0.22,5.0,B1,"noun, verb"
looking,242,0.69,5.57,240,1.13,5.7,,
public,243,0.69,5.57,902,0.21,4.96,A2,"adjective, noun"
top,244,0.69,5.57,587,0.37,5.21,A1,"adjective, noun"
women,245,0.69,5.57,463,0.52,5.37,,
business,246,0.68,5.56,343,0.75,5.52,A1,noun
care,247,0.68,5.56,238,1.15,5.71,B1,"noun, verb"
start,248,0.68,5.56,299,0.89,5.6,A1,"noun, verb"
system,249,0.68,5.56,747,0.26,5.06,A2,noun
times,250,0.68,5.56,399,0.61,5.43,B2,preposition
week,251,0.68,5.56,440,0.55,5.39,A1,noun
7,252,0.66,5.55,,,,,
already,253,0.66,5.55,267,1.0,5.65,A1,adverb
anything,254,0.66,5.55,134,2.22,5.99,A1,pronoun
case,255,0.66,5.55,344,0.75,5.52,A1,noun
nothing,256,0.66,5.55,138,2.16,5.98,A1,pronoun
person,257,0.66,5.55,369,0.67,5.47,A1,noun
today,258,0.66,5.55,222,1.27,5.75,A1,"adverb, noun"
change,259,0.65,5.54,383,0.65,5.46,A1,"noun, verb"
enough,260,0.65,5.54,212,1.31,5.76,A2,"adverb, determiner, pronoun"
everything,261,0.65,5.54,166,1.81,5.9,A1,pronoun
full,262,0.65,5.54,515,0.45,5.3,A1,adjective
live,263,0.65,5.54,271,0.98,5.64,A1,"adjective, verb"
making,264,0.65,5.54,412,0.59,5.42,,
point,265,0.65,5.54,406,0.61,5.43,A2,"noun, verb"
read,266,0.65,5.54,452,0.54,5.38,A1,verb
there's,267,0.65,5.54,,,,,
told,268,0.65,5.54,167,1.8,5.9,,
yet,269,0.65,5.54,296,0.9,5.6,B1,"adverb, conjunction"
bad,270,0.63,5.53,219,1.29,5.76,A1,adjective
doesn't,271,0.63,5.53,,,,,
four,272,0.63,5.53,419,0.58,5.41,A1,number
hard,273,0.63,5.53,314,0.84,5.57,A1,"adjective, adverb"
mean,274,0.63,5.53,116,2.85,6.1,A1,"adjective, noun, verb"
once,275,0.63,5.53,278,0.94,5.62,B2,"adverb, conjunction"
support,276,0.63,5.53,1061,0.17,4.87,B1,"noun, verb"
tell,277,0.63,5.53,89,4.09,6.26,A1,verb
including,278,0.62,5.52,1918,0.08,4.56,B1,preposition
music,279,0.62,5.52,356,0.72,5.5,A1,noun
power,280,0.62,5.52,497,0.47,5.32,A2,noun
seen,281,0.62,5.52,270,0.98,5.64,,
states,282,0.62,5.52,1438,0.12,4.72,,
stop,283,0.62,5.52,151,1.99,5.95,A1,"noun, verb"
water,284,0.62,5.52,368,0.67,5.47,B2,"noun, verb"
based,285,0.6,5.51,1738,0.09,4.62,,
believe,286,0.6,5.51,195,1.4,5.79,A1,verb
call,287,0.6,5.51,152,1.99,5.95,A2,"noun, verb"
head,288,0.6,5.51,280,0.93,5.61,A2,"noun, verb"
men,289,0.6,5.51,297,0.89,5.6,,
national,290,0.6,5.51,1453,0.12,4.72,A2,adjective
small,291,0.6,5.51,564,0.39,5.24,A1,adjective
took,292,0.6,5.51,294,0.9,5.6,,
white,293,0.6,5.51,561,0.39,5.24,A1,"adjective, noun"
came,294,0.59,5.5,214,1.3,5.76,,
far,295,0.59,5.5,389,0.63,5.45,A2,"adjective, adverb"
job,296,0.59,5.5,259,1.04,5.66,A1,noun
side,297,0.59,5.5,450,0.54,5.38,A1,noun
though,298,0.59,5.5,453,0.54,5.38,A2,"adverb, conjunction"
try,299,0.59,5.5,242,1.13,5.7,A2,"noun, verb"
went,300,0.59,5.5,244,1.12,5.7,,
yes,301,0.59,5.5,69,5.68,6.4,A1,adverb
actually,302,0.58,5.49,273,0.97,5.63,A2,adverb
american,303,0.58,5.49,852,0.22,4.99,,
later,304,0.58,5.49,353,0.73,5.51,A1,"adjective, adverb"
less,305,0.58,5.49,646,0.31,5.14,A2,"adverb, determiner, pronoun"
line,306,0.58,5.49,509,0.46,5.31,B2,"noun, verb"
order,307,0.58,5.49,529,0.44,5.29,A2,"noun, verb"
party,308,0.58,5.49,423,0.58,5.41,A1,noun
run,309,0.58,5.49,312,0.85,5.58,A1,"noun, verb"
says,310,0.58,5.49,346,0.75,5.52,,
service,311,0.58,5.49,910,0.21,4.96,B1,"noun, verb"
8,312,0.56,5.48,,,,,
country,313,0.56,5.48,527,0.44,5.29,A2,noun
open,314,0.56,5.48,333,0.8,5.55,A1,"adjective, verb"
season,315,0.56,5.48,1666,0.1,4.64,B1,noun
shit,316,0.56,5.48,275,0.95,5.62,,
thank,317,0.56,5.48,122,2.69,6.08,A1,verb
children,318,0.55,5.47,449,0.54,5.38,,
everyone,319,0.55,5.47,311,0.85,5.58,A1,pronoun
general,320,0.55,5.47,719,0.27,5.07,B1,"adjective, noun"
they're,321,0.55,5.47,,,,,
trying,322,0.55,5.47,255,1.05,5.67,,
united,323,0.55,5.47,1519,0.11,4.69,B2,adjective
using,324,0.55,5.47,808,0.23,5.01,,
area,325,0.54,5.46,854,0.22,4.99,A2,noun
black,326,0.54,5.46,537,0.43,5.28,A1,"adjective, noun"
d,327,0.54,5.46,,,,,
following,328,0.54,5.46,1282,0.14,4.78,B2,"adjective, preposition"
law,329,0.54,5.46,709,0.27,5.08,A2,noun
makes,330,0.54,5.46,408,0.6,5.42,,
together,331,0.54,5.46,257,1.05,5.67,A1,adverb
war,332,0.54,5.46,477,0.5,5.34,A1,noun
whole,333,0.54,5.46,298,0.89,5.6,B1,"adjective, noun"
car,334,0.53,5.45,239,1.15,5.71,A1,noun
face,335,0.53,5.45,337,0.78,5.54,A2,"noun, verb"
five,336,0.53,5.45,387,0.64,5.45,A1,number
kind,337,0.53,5.45,201,1.36,5.78,A1,"adjective, noun"
maybe,338,0.53,5.45,146,2.02,5.95,A1,adverb
per,339,0.53,5.45,2013,0.08,4.54,B1,preposition
president,340,0.53,5.45,694,0.28,5.1,B1,noun
story,341,0.53,5.45,431,0.57,5.4,A1,noun
working,342,0.53,5.45,367,0.67,5.47,B1,adjective
course,343,0.51,5.44,208,1.33,5.77,A1,noun
games,344,0.51,5.44,1492,0.11,4.7,,
health,345,0.51,5.44,1422,0.12,4.73,A1,noun
hope,346,0.51,5.44,336,0.79,5.54,B1,"noun, verb"
important,347,0.51,5.44,428,0.57,5.4,A1,adjective
least,348,0.51,5.44,434,0.57,5.4,B2,"adverb, determiner, pronoun"
means,349,0.51,5.44,405,0.61,5.43,B2,noun
news,350,0.51,5.44,511,0.46,5.31,A1,noun
within,351,0.51,5.44,942,0.2,4.94,A2,preposition
able,352,0.5,5.43,468,0.51,5.36,B1,adjective
book,353,0.5,5.43,559,0.4,5.24,B1,"noun, verb"
early,354,0.5,5.43,678,0.29,5.12,A1,"adjective, adverb"
friends,355,0.5,5.43,330,0.8,5.55,,
i'll,356,0.5,5.43,,,,,
information,357,0.5,5.43,760,0.25,5.04,A1,noun
local,358,0.5,5.43,1336,0.13,4.76,A2,adjective
oh,359,0.5,5.43,49,7.98,6.55,,
post,360,0.5,5.43,1772,0.09,4.6,A2,"noun, verb"
t,361,0.5,5.43,,,,,
thanks,362,0.5,5.43,199,1.37,5.79,A1,noun
video,363,0.5,5.43,1256,0.14,4.79,A1,noun
young,364,0.5,5.43,365,0.68,5.48,A1,adjective
ago,365,0.49,5.42,332,0.8,5.55,A1,adverb
others,366,0.49,5.42,620,0.34,5.17,,
social,367,0.49,5.42,1639,0.1,4.65,A1,adjective
talk,368,0.49,5.42,155,1.97,5.94,A1,"noun, verb"
9,369,0.48,5.41,,,,,
court,370,0.48,5.41,735,0.26,5.06,A2,noun
fact,371,0.48,5.41,531,0.43,5.28,A2,noun
given,372,0.48,5.41,658,0.3,5.13,A2,adjective
guys,373,0.48,5.41,183,1.54,5.83,,
half,374,0.48,5.41,491,0.48,5.33,A2,"adverb, determiner, noun, pronoun"
hand,375,0.48,5.41,357,0.72,5.5,A2,"noun, verb"
isn't,376,0.48,5.41,,,,,
level,377,0.48,5.41,1275,0.14,4.78,B2,"adjective, noun, verb"
mind,378,0.48,5.41,248,1.09,5.68,A2,"noun, verb"
often,379,0.48,5.41,952,0.19,4.94,A1,adverb
single,380,0.48,5.41,835,0.22,5.0,B1,"adjective, noun"
become,381,0.47,5.4,519,0.45,5.3,A1,verb
body,382,0.47,5.4,413,0.59,5.42,A1,noun
coming,383,0.47,5.4,202,1.35,5.78,,
control,384,0.47,5.4,594,0.36,5.2,B1,"noun, verb"
death,385,0.47,5.4,376,0.66,5.46,A2,noun
food,386,0.47,5.4,522,0.44,5.29,A1,noun
guy,387,0.47,5.4,185,1.51,5.83,A1,noun
hours,388,0.47,5.4,461,0.53,5.37,,
office,389,0.47,5.4,483,0.49,5.34,A1,noun
pay,390,0.47,5.4,378,0.66,5.46,A1,"noun, verb"
problem,391,0.47,5.4,328,0.81,5.55,A1,noun
south,392,0.47,5.4,1030,0.17,4.89,A2,"adjective, adverb, noun"
true,393,0.47,5.4,347,0.75,5.52,A1,adjective
we're,394,0.47,5.4,,,,,
almost,395,0.46,5.39,465,0.52,5.36,A1,adverb
fuck,396,0.46,5.39,289,0.9,5.6,,
history,397,0.46,5.39,784,0.24,5.03,A1,noun
known,398,0.46,5.39,628,0.33,5.17,B2,adjective
large,399,0.46,5.39,1335,0.13,4.76,A1,adjective
lost,400,0.46,5.39,339,0.77,5.54,A2,adjective
m,401,0.46,5.39,,,,,
research,402,0.46,5.39,1558,0.11,4.68,B2,"noun, verb"
room,403,0.46,5.39,265,1.01,5.65,B1,"noun, verb"
several,404,0.46,5.39,1401,0.12,4.74,A2,"determiner, pronoun"
started,405,0.46,5.39,455,0.54,5.38,,
taking,406,0.46,5.39,397,0.62,5.44,,
university,407,0.46,5.39,1896,0.08,4.57,A2,noun
win,408,0.46,5.39,592,0.36,5.2,A1,"noun, verb"
wrong,409,0.46,5.39,217,1.29,5.76,A2,"adjective, adverb"
along,410,0.45,5.38,520,0.45,5.3,A2,"adverb, preposition"
anyone,411,0.45,5.38,334,0.79,5.55,A1,pronoun
else,412,0.45,5.38,232,1.18,5.72,A1,adverb
girl,413,0.45,5.38,196,1.4,5.79,A1,noun
john,414,0.45,5.38,569,0.38,5.23,,
matter,415,0.45,5.38,307,0.86,5.58,A2,"noun, verb"
pretty,416,0.45,5.38,292,0.9,5.6,A2,"adjective, adverb"
remember,417,0.45,5.38,227,1.24,5.74,A1,verb
air,418,0.44,5.37,604,0.35,5.19,A2,noun
bit,419,0.44,5.37,293,0.9,5.6,A2,noun
friend,420,0.44,5.37,250,1.07,5.68,A1,noun
hit,421,0.44,5.37,396,0.62,5.44,A2,"noun, verb"
needs,422,0.44,5.37,525,0.44,5.29,,
nice,423,0.44,5.37,194,1.41,5.8,A1,adjective
playing,424,0.44,5.37,471,0.51,5.35,,
probably,425,0.44,5.37,359,0.7,5.5,A2,adverb
saying,426,0.44,5.37,322,0.82,5.56,,
understand,427,0.44,5.37,225,1.27,5.75,A2,verb
yeah,428,0.44,5.37,55,6.95,6.49,A2,adverb
york,429,0.44,5.37,818,0.23,5.01,,
class,430,0.43,5.36,726,0.27,5.07,A1,noun
close,431,0.43,5.36,421,0.58,5.41,A1,"adjective, verb"
comes,432,0.43,5.36,427,0.57,5.4,,
i'd,433,0.43,5.36,,,,,
idea,434,0.43,5.36,283,0.91,5.61,A1,noun
international,435,0.43,5.36,2514,0.06,4.42,A2,adjective
looks,436,0.43,5.36,325,0.81,5.56,,
past,437,0.43,5.36,581,0.37,5.22,A1,"adjective, adverb, preposition"
possible,438,0.43,5.36,583,0.37,5.21,A2,adjective
wanted,439,0.43,5.36,200,1.36,5.78,,
b,440,0.42,5.35,,,,,
cause,441,0.42,5.35,542,0.42,5.27,A2,"noun, verb"
due,442,0.42,5.35,1391,0.12,4.74,A1,adjective
happy,443,0.42,5.35,286,0.91,5.61,A1,adjective
human,444,0.42,5.35,596,0.36,5.2,B1,"adjective, noun"
members,445,0.42,5.35,1785,0.09,4.6,,
months,446,0.42,5.35,516,0.45,5.3,,
move,447,0.42,5.35,268,0.99,5.64,A2,"noun, verb"
question,448,0.42,5.35,484,0.49,5.34,B2,"noun, verb"
r,449,0.42,5.35,,,,,
series,450,0.42,5.35,2377,0.06,4.45,B1,noun
wait,451,0.42,5.35,150,2.0,5.95,A1,"noun, verb"
woman,452,0.42,5.35,243,1.13,5.7,A1,noun
ask,453,0.41,5.34,228,1.23,5.74,A1,verb
community,454,0.41,5.34,1750,0.09,4.61,B2,noun
data,455,0.41,5.34,2011,0.08,4.54,B2,noun
late,456,0.41,5.34,372,0.67,5.47,A1,"adjective, adverb"
leave,457,0.41,5.34,174,1.66,5.87,A1,"noun, verb"
north,458,0.41,5.34,1048,0.17,4.88,A2,"adjective, adverb, noun"
saw,459,0.41,5.34,260,1.04,5.66,B2,"noun, verb"
special,460,0.41,5.34,567,0.38,5.23,A1,adjective
