rank,word,frequency,zipf
214,away,0.000417,5.62
215,left,0.000417,5.62
216,number,0.000417,5.62
217,city,0.000407,5.61
218,days,0.000407,5.61
219,lot,0.000407,5.61
220,name,0.000407,5.61
221,night,0.000407,5.61
222,play,0.000407,5.61
223,until,0.000407,5.61
224,company,0.000398,5.6
225,doing,0.000398,5.6
226,few,0.000398,5.6
227,he's,0.000398,5.6
228,let,0.000398,5.6
229,real,0.000398,5.6
230,6,0.000389,5.59
231,called,0.000389,5.59
232,different,0.000389,5.59
233,having,0.000389,5.59
234,set,0.000389,5.59
235,thought,0.000389,5.59
236,done,0.00038,5.58
237,however,0.00038,5.58
238,getting,0.000372,5.57
239,god,0.000372,5.57
240,government,0.000372,5.57
241,group,0.000372,5.57
242,looking,0.000372,5.57
243,public,0.000372,5.57
244,top,0.000372,5.57
245,women,0.000372,5.57
246,business,0.000363,5.56
247,care,0.000363,5.56
248,start,0.000363,5.56
249,system,0.000363,5.56
250,times,0.000363,5.56
251,week,0.000363,5.56
252,7,0.000355,5.55
253,already,0.000355,5.55
254,anything,0.000355,5.55
255,case,0.000355,5.55
256,nothing,0.000355,5.55
257,person,0.000355,5.55
258,today,0.000355,5.55
259,change,0.000347,5.54
260,enough,0.000347,5.54
261,everything,0.000347,5.54
262,full,0.000347,5.54
263,live,0.000347,5.54
264,making,0.000347,5.54
265,point,0.000347,5.54
266,read,0.000347,5.54
267,there's,0.000347,5.54
268,told,0.000347,5.54
269,yet,0.000347,5.54
270,bad,0.000339,5.53
271,doesn't,0.000339,5.53
272,four,0.000339,5.53
273,hard,0.000339,5.53
274,mean,0.000339,5.53
275,once,0.000339,5.53
276,support,0.000339,5.53
277,tell,0.000339,5.53
278,including,0.000331,5.52
279,music,0.000331,5.52
280,power,0.000331,5.52
281,seen,0.000331,5.52
282,states,0.000331,5.52
283,stop,0.000331,5.52
284,water,0.000331,5.52
285,based,0.000324,5.51
286,believe,0.000324,5.51
287,call,0.000324,5.51
288,head,0.000324,5.51
289,men,0.000324,5.51
290,national,0.000324,5.51
291,small,0.000324,5.51
292,took,0.000324,5.51
293,white,0.000324,5.51
294,came,0.000316,5.5
295,far,0.000316,5.5
296,job,0.000316,5.5
297,side,0.000316,5.5
298,though,0.000316,5.5
299,try,0.000316,5.5
300,went,0.000316,5.5
301,yes,0.000316,5.5
302,actually,0.000309,5.49
303,american,0.000309,5.49
304,later,0.000309,5.49
305,less,0.000309,5.49
306,line,0.000309,5.49
307,order,0.000309,5.49
308,party,0.000309,5.49
309,run,0.000309,5.49
310,says,0.000309,5.49
311,service,0.000309,5.49
312,8,0.000302,5.48
313,country,0.000302,5.48
314,open,0.000302,5.48
315,season,0.000302,5.48
316,shit,0.000302,5.48
317,thank,0.000302,5.48
318,children,0.000295,5.47
319,everyone,0.000295,5.47
320,general,0.000295,5.47
321,they're,0.000295,5.47
322,trying,0.000295,5.47
323,united,0.000295,5.47
324,using,0.000295,5.47
325,area,0.000288,5.46
