rank,word,frequency,zipf
2035,dating,5.01e-05,4.7
2036,dick,5.01e-05,4.7
2037,elements,5.01e-05,4.7
2038,enemy,5.01e-05,4.7
2039,ensure,5.01e-05,4.7
2040,environmental,5.01e-05,4.7
2041,filled,5.01e-05,4.7
2042,fixed,5.01e-05,4.7
2043,forest,5.01e-05,4.7
2044,intelligence,5.01e-05,4.7
2045,intended,5.01e-05,4.7
2046,labour,5.01e-05,4.7
2047,limit,5.01e-05,4.7
2048,moon,5.01e-05,4.7
2049,ocean,5.01e-05,4.7
2050,powers,5.01e-05,4.7
2051,profit,5.01e-05,4.7
2052,proof,5.01e-05,4.7
2053,republican,5.01e-05,4.7
2054,soldiers,5.01e-05,4.7
2055,suit,5.01e-05,4.7
2056,wins,5.01e-05,4.7
2057,women's,5.01e-05,4.7
2058,appearance,4.9e-05,4.69
2059,asian,4.9e-05,4.69
2060,attorney,4.9e-05,4.69
2061,banks,4.9e-05,4.69
2062,behavior,4.9e-05,4.69
2063,ben,4.9e-05,4.69
2064,bodies,4.9e-05,4.69
2065,brothers,4.9e-05,4.69
2066,buildings,4.9e-05,4.69
2067,chair,4.9e-05,4.69
2068,creating,4.9e-05,4.69
2069,debt,4.9e-05,4.69
2070,domestic,4.9e-05,4.69
2071,expensive,4.9e-05,4.69
2072,grew,4.9e-05,4.69
2073,historical,4.9e-05,4.69
2074,homes,4.9e-05,4.69
2075,honestly,4.9e-05,4.69
2076,honor,4.9e-05,4.69
2077,im,4.9e-05,4.69
2078,jump,4.9e-05,4.69
2079,launch,4.9e-05,4.69
2080,listed,4.9e-05,4.69
2081,minimum,4.9e-05,4.69
2082,native,4.9e-05,4.69
2083,noted,4.9e-05,4.69
2084,originally,4.9e-05,4.69
2085,planned,4.9e-05,4.69
2086,pm,4.9e-05,4.69
2087,ray,4.9e-05,4.69
2088,sets,4.9e-05,4.69
2089,suddenly,4.9e-05,4.69
2090,supreme,4.9e-05,4.69
2091,survey,4.9e-05,4.69
2092,tech,4.9e-05,4.69
2093,trees,4.9e-05,4.69
2094,update,4.9e-05,4.69
2095,user,4.9e-05,4.69
2096,writer,4.9e-05,4.69
2097,yellow,4.9e-05,4.69
2098,younger,4.9e-05,4.69
2099,ancient,4.79e-05,4.68
2100,attacks,4.79e-05,4.68
2101,charges,4.79e-05,4.68
2102,combined,4.79e-05,4.68
2103,communication,4.79e-05,4.68
2104,connected,4.79e-05,4.68
2105,contains,4.79e-05,4.68
2106,download,4.79e-05,4.68
2107,email,4.79e-05,4.68
2108,ending,4.79e-05,4.68
2109,exercise,4.79e-05,4.68
2110,express,4.79e-05,4.68
2111,flow,4.79e-05,4.68
2112,formed,4.79e-05,4.68
2113,girlfriend,4.79e-05,4.68
2114,hero,4.79e-05,4.68
2115,illegal,4.79e-05,4.68
2116,increasing,4.79e-05,4.68
2117,joke,4.79e-05,4.68
2118,loan,4.79e-05,4.68
2119,methods,4.79e-05,4.68
2120,officials,4.79e-05,4.68
2121,people's,4.79e-05,4.68
2122,performed,4.79e-05,4.68
2123,planet,4.79e-05,4.68
2124,relationships,4.79e-05,4.68
2125,restaurant,4.79e-05,4.68
2126,scotland,4.79e-05,4.68
2127,selected,4.79e-05,4.68
2128,shared,4.79e-05,4.68
2129,shopping,4.79e-05,4.68
2130,soft,4.79e-05,4.68
2131,stuck,4.79e-05,4.68
2132,sugar,4.79e-05,4.68
2133,suggested,4.79e-05,4.68
2134,supported,4.79e-05,4.68
2135,surprised,4.79e-05,4.68
2136,taught,4.79e-05,4.68
2137,transport,4.79e-05,4.68
2138,weren't,4.79e-05,4.68
2139,accepted,4.68e-05,4.67
2140,adding,4.68e-05,4.67
2141,affairs,4.68e-05,4.67
2142,allows,4.68e-05,4.67
2143,appeal,4.68e-05,4.67
2144,applied,4.68e-05,4.67
2145,appropriate,4.68e-05,4.67
2146,artists,4.68e-05,4.67
2147,boston,4.68e-05,4.67
2148,ca,4.68e-05,4.67
2149,confirmed,4.68e-05,4.67
2150,device,4.68e-05,4.67
2151,drama,4.68e-05,4.67
2152,entry,4.68e-05,4.67
2153,era,4.68e-05,4.67
2154,factor,4.68e-05,4.67
2155,feed,4.68e-05,4.67
2156,golden,4.68e-05,4.67
2157,grant,4.68e-05,4.67
2158,grown,4.68e-05,4.67
2159,heads,4.68e-05,4.67
2160,hoping,4.68e-05,4.67
2161,keeps,4.68e-05,4.67
2162,lawyer,4.68e-05,4.67
2163,legs,4.68e-05,4.67
2164,lying,4.68e-05,4.67
2165,measures,4.68e-05,4.67
2166,mistake,4.68e-05,4.67
2167,ms,4.68e-05,4.67
2168,muslim,4.68e-05,4.67
2169,organizations,4.68e-05,4.67
2170,platform,4.68e-05,4.67
2171,pool,4.68e-05,4.67
2172,pulled,4.68e-05,4.67
2173,regarding,4.68e-05,4.67
2174,relations,4.68e-05,4.67
2175,requires,4.68e-05,4.67
2176,route,4.68e-05,4.67
2177,saved,4.68e-05,4.67
2178,schedule,4.68e-05,4.67
2179,scientific,4.68e-05,4.67
2180,shoes,4.68e-05,4.67
2181,smoke,4.68e-05,4.67
2182,squad,4.68e-05,4.67
2183,teach,4.68e-05,4.67
2184,testing,4.68e-05,4.67
2185,tests,4.68e-05,4.67
2186,values,4.68e-05,4.67
2187,walked,4.68e-05,4.67
2188,williams,4.68e-05,4.67
2189,ya,4.68e-05,4.67
2190,abuse,4.57e-05,4.66
2191,angry,4.57e-05,4.66
2192,businesses,4.57e-05,4.66
2193,candidate,4.57e-05,4.66
2194,comfortable,4.57e-05,4.66
2195,concern,4.57e-05,4.66
2196,developing,4.57e-05,4.66
2197,discuss,4.57e-05,4.66
2198,elections,4.57e-05,4.66
2199,emotional,4.57e-05,4.66
2200,et,4.57e-05,4.66
2201,everywhere,4.57e-05,4.66
2202,facilities,4.57e-05,4.66
2203,falling,4.57e-05,4.66
2204,fox,4.57e-05,4.66
2205,guns,4.57e-05,4.66
2206,hole,4.57e-05,4.66
2207,holiday,4.57e-05,4.66
2208,interests,4.57e-05,4.66
2209,internal,4.57e-05,4.66
2210,ireland,4.57e-05,4.66
2211,italian,4.57e-05,4.66
2212,italy,4.57e-05,4.66
2213,jersey,4.57e-05,4.66
2214,laugh,4.57e-05,4.66
2215,leg,4.57e-05,4.66
2216,letters,4.57e-05,4.66
2217,liberal,4.57e-05,4.66
2218,listening,4.57e-05,4.66
2219,ll,4.57e-05,4.66
2220,loves,4.57e-05,4.66
2221,lunch,4.57e-05,4.66
2222,max,4.57e-05,4.66
2223,milk,4.57e-05,4.66
2224,pack,4.57e-05,4.66
2225,payment,4.57e-05,4.66
2226,perform,4.57e-05,4.66
2227,recorded,4.57e-05,4.66
2228,relatively,4.57e-05,4.66
2229,sector,4.57e-05,4.66
2230,sharing,4.57e-05,4.66
2231,snow,4.57e-05,4.66
2232,storm,4.57e-05,4.66
2233,streets,4.57e-05,4.66
2234,strike,4.57e-05,4.66
2235,studio,4.57e-05,4.66
2236,sub,4.57e-05,4.66
2237,weak,4.57e-05,4.66
2238,youtube,4.57e-05,4.66
2239,3rd,4.47e-05,4.65
2240,actor,4.47e-05,4.65
2241,advance,4.47e-05,4.65
2242,apartment,4.47e-05,4.65
2243,asia,4.47e-05,4.65
2244,chain,4.47e-05,4.65
2245,chapter,4.47e-05,4.65
2246,committed,4.47e-05,4.65
2247,confidence,4.47e-05,4.65
2248,cook,4.47e-05,4.65
2249,cute,4.47e-05,4.65
2250,equal,4.47e-05,4.65
2251,fake,4.47e-05,4.65
2252,finance,4.47e-05,4.65
2253,focused,4.47e-05,4.65
2254,hits,4.47e-05,4.65
2255,identity,4.47e-05,4.65
2256,journey,4.47e-05,4.65
2257,kitchen,4.47e-05,4.65
2258,korea,4.47e-05,4.65
2259,leads,4.47e-05,4.65
2260,maintain,4.47e-05,4.65
2261,measure,4.47e-05,4.65
2262,mm,4.47e-05,4.65
2263,numerous,4.47e-05,4.65
2264,owners,4.47e-05,4.65
2265,posts,4.47e-05,4.65
2266,properties,4.47e-05,4.65
2267,quiet,4.47e-05,4.65
2268,revealed,4.47e-05,4.65
2269,specifically,4.47e-05,4.65
2270,split,4.47e-05,4.65
2271,task,4.47e-05,4.65
2272,taxes,4.47e-05,4.65
2273,taylor,4.47e-05,4.65
2274,twenty,4.47e-05,4.65
2275,urban,4.47e-05,4.65
2276,acts,4.37e-05,4.64
2277,affected,4.37e-05,4.64
2278,aircraft,4.37e-05,4.64
2279,applications,4.37e-05,4.64
2280,approved,4.37e-05,4.64
2281,approximately,4.37e-05,4.64
2282,argument,4.37e-05,4.64
2283,arrested,4.37e-05,4.64
2284,claimed,4.37e-05,4.64
2285,conflict,4.37e-05,4.64
2286,considering,4.37e-05,4.64
2287,corporate,4.37e-05,4.64
2288,debate,4.37e-05,4.64
2289,determined,4.37e-05,4.64
2290,distribution,4.37e-05,4.64
2291,documents,4.37e-05,4.64
2292,escape,4.37e-05,4.64
2293,extended,4.37e-05,4.64
2294,factors,4.37e-05,4.64
2295,faster,4.37e-05,4.64
2296,fault,4.37e-05,4.64
2297,fill,4.37e-05,4.64
2298,films,4.37e-05,4.64
2299,flowers,4.37e-05,4.64
2300,friendly,4.37e-05,4.64
2301,ladies,4.37e-05,4.64
2302,lay,4.37e-05,4.64
2303,lights,4.37e-05,4.64
2304,millions,4.37e-05,4.64
2305,mixed,4.37e-05,4.64
2306,phase,4.37e-05,4.64
2307,properly,4.37e-05,4.64
2308,pure,4.37e-05,4.64
2309,reduced,4.37e-05,4.64
2310,requirements,4.37e-05,4.64
2311,residents,4.37e-05,4.64
2312,revenue,4.37e-05,4.64
2313,sam,4.37e-05,4.64
2314,sat,4.37e-05,4.64
2315,secure,4.37e-05,4.64
2316,smile,4.37e-05,4.64
2317,strange,4.37e-05,4.64
2318,talent,4.37e-05,4.64
2319,temperature,4.37e-05,4.64
2320,thousand,4.37e-05,4.64
2321,tony,4.37e-05,4.64
2322,troops,4.37e-05,4.64
2323,truck,4.37e-05,4.64
2324,votes,4.37e-05,4.64
2325,ah,4.27e-05,4.63
2326,authorities,4.27e-05,4.63
2327,basically,4.27e-05,4.63
2328,besides,4.27e-05,4.63
2329,bird,4.27e-05,4.63
2330,blame,4.27e-05,4.63
2331,bob,4.27e-05,4.63
2332,bowl,4.27e-05,4.63
2333,causes,4.27e-05,4.63
2334,chicken,4.27e-05,4.63
2335,collected,4.27e-05,4.63
2336,context,4.27e-05,4.63
2337,coverage,4.27e-05,4.63
2338,determine,4.27e-05,4.63
2339,display,4.27e-05,4.63
2340,dying,4.27e-05,4.63
2341,elected,4.27e-05,4.63
2342,examples,4.27e-05,4.63
2343,experienced,4.27e-05,4.63
2344,falls,4.27e-05,4.63
2345,false,4.27e-05,4.63
2346,fired,4.27e-05,4.63
2347,forgot,4.27e-05,4.63
2348,funding,4.27e-05,4.63
2349,identified,4.27e-05,4.63
2350,iii,4.27e-05,4.63
2351,incredible,4.27e-05,4.63
2352,inspired,4.27e-05,4.63
2353,launched,4.27e-05,4.63
2354,ma,4.27e-05,4.63
2355,meat,4.27e-05,4.63
2356,ministry,4.27e-05,4.63
2357,mode,4.27e-05,4.63
2358,neck,4.27e-05,4.63
2359,noticed,4.27e-05,4.63
2360,novel,4.27e-05,4.63
2361,obvious,4.27e-05,4.63
2362,passing,4.27e-05,4.63
2363,positions,4.27e-05,4.63
2364,remaining,4.27e-05,4.63
2365,scored,4.27e-05,4.63
2366,shirt,4.27e-05,4.63
2367,shots,4.27e-05,4.63
2368,slowly,4.27e-05,4.63
2369,stadium,4.27e-05,4.63
2370,stores,4.27e-05,4.63
2371,surgery,4.27e-05,4.63
2372,trading,4.27e-05,4.63
2373,tuesday,4.27e-05,4.63
2374,vision,4.27e-05,4.63
2375,whenever,4.27e-05,4.63
2376,worried,4.27e-05,4.63
2377,zero,4.27e-05,4.63
2378,alex,4.17e-05,4.62
2379,allowing,4.17e-05,4.62
2380,begins,4.17e-05,4.62
2381,champion,4.17e-05,4.62
2382,charged,4.17e-05,4.62
2383,cream,4.17e-05,4.62
2384,crisis,4.17e-05,4.62
2385,daniel,4.17e-05,4.62
2386,delivered,4.17e-05,4.62
2387,editor,4.17e-05,4.62
2388,estimated,4.17e-05,4.62
2389,eu,4.17e-05,4.62
2390,giant,4.17e-05,4.62
2391,iran,4.17e-05,4.62
2392,jail,4.17e-05,4.62
2393,jim,4.17e-05,4.62
2394,kingdom,4.17e-05,4.62
2395,literature,4.17e-05,4.62
2396,mayor,4.17e-05,4.62
2397,minor,4.17e-05,4.62
2398,moments,4.17e-05,4.62
2399,opposite,4.17e-05,4.62
2400,orange,4.17e-05,4.62
2401,ourselves,4.17e-05,4.62
2402,pages,4.17e-05,4.62
2403,remained,4.17e-05,4.62
2404,selection,4.17e-05,4.62
2405,serving,4.17e-05,4.62
2406,signal,4.17e-05,4.62
2407,stream,4.17e-05,4.62
2408,struggle,4.17e-05,4.62
2409,suicide,4.17e-05,4.62
2410,talked,4.17e-05,4.62
2411,theme,4.17e-05,4.62
2412,thursday,4.17e-05,4.62
2413,tiny,4.17e-05,4.62
2414,typically,4.17e-05,4.62
2415,un,4.17e-05,4.62
2416,unfortunately,4.17e-05,4.62
2417,usual,4.17e-05,4.62
2418,vehicles,4.17e-05,4.62
2419,virginia,4.17e-05,4.62
2420,voted,4.17e-05,4.62
2421,voting,4.17e-05,4.62
2422,walls,4.17e-05,4.62
2423,wave,4.17e-05,4.62
2424,alcohol,4.07e-05,4.61
2425,assembly,4.07e-05,4.61
2426,breakfast,4.07e-05,4.61
2427,bright,4.07e-05,4.61
2428,brings,4.07e-05,4.61
2429,capable,4.07e-05,4.61
2430,carrying,4.07e-05,4.61
2431,chosen,4.07e-05,4.61
2432,combination,4.07e-05,4.61
2433,conservative,4.07e-05,4.61
2434,customer,4.07e-05,4.61
2435,cutting,4.07e-05,4.61
2436,desire,4.07e-05,4.61
2437,destroyed,4.07e-05,4.61
2438,draft,4.07e-05,4.61
2439,drunk,4.07e-05,4.61
2440,essential,4.07e-05,4.61
2441,fail,4.07e-05,4.61
2442,familiar,4.07e-05,4.61
2443,finds,4.07e-05,4.61
2444,granted,4.07e-05,4.61
2445,guilty,4.07e-05,4.61
2446,humans,4.07e-05,4.61
2447,hundreds,4.07e-05,4.61
2448,id,4.07e-05,4.61
2449,improved,4.07e-05,4.61
2450,jewish,4.07e-05,4.61
2451,largely,4.07e-05,4.61
2452,laughing,4.07e-05,4.61
2453,markets,4.07e-05,4.61
2454,medium,4.07e-05,4.61
2455,ohio,4.07e-05,4.61
2456,opportunities,4.07e-05,4.61
2457,papers,4.07e-05,4.61
2458,perfectly,4.07e-05,4.61
2459,recommend,4.07e-05,4.61
2460,referred,4.07e-05,4.61
2461,relevant,4.07e-05,4.61
2462,seek,4.07e-05,4.61
2463,sending,4.07e-05,4.61
2464,solo,4.07e-05,4.61
2465,spoke,4.07e-05,4.61
2466,stands,4.07e-05,4.61
2467,talks,4.07e-05,4.61
2468,ticket,4.07e-05,4.61
2469,unable,4.07e-05,4.61
2470,upset,4.07e-05,4.61
2471,wing,4.07e-05,4.61
2472,world's,4.07e-05,4.61
2473,answers,3.98e-05,4.6
2474,birds,3.98e-05,4.6
2475,bomb,3.98e-05,4.6
2476,creative,3.98e-05,4.6
2477,cycle,3.98e-05,4.6
2478,dealing,3.98e-05,4.6
2479,directed,3.98e-05,4.6
2480,don,3.98e-05,4.6
2481,educational,3.98e-05,4.6
2482,entertainment,3.98e-05,4.6
2483,extreme,3.98e-05,4.6
2484,facility,3.98e-05,4.6
2485,fields,3.98e-05,4.6
2486,goods,3.98e-05,4.6
2487,hang,3.98e-05,4.6
2488,holds,3.98e-05,4.6
2489,info,3.98e-05,4.6
2490,mainly,3.98e-05,4.6
2491,maximum,3.98e-05,4.6
2492,newspaper,3.98e-05,4.6
2493,offering,3.98e-05,4.6
2494,painting,3.98e-05,4.6
2495,republic,3.98e-05,4.6
2496,reserve,3.98e-05,4.6
2497,returns,3.98e-05,4.6
2498,row,3.98e-05,4.6
2499,salt,3.98e-05,4.6
2500,scared,3.98e-05,4.6
2501,scottish,3.98e-05,4.6
2502,shares,3.98e-05,4.6
2503,statistics,3.98e-05,4.6
2504,switch,3.98e-05,4.6
2505,territory,3.98e-05,4.6
2506,threat,3.98e-05,4.6
2507,tickets,3.98e-05,4.6
2508,wales,3.98e-05,4.6
2509,adults,3.89e-05,4.59
2510,affect,3.89e-05,4.59
2511,appointed,3.89e-05,4.59
2512,armed,3.89e-05,4.59
2513,aside,3.89e-05,4.59
2514,assistance,3.89e-05,4.59
2515,bell,3.89e-05,4.59
2516,blow,3.89e-05,4.59
2517,bond,3.89e-05,4.59
2518,boyfriend,3.89e-05,4.59
2519,careful,3.89e-05,4.59
2520,circumstances,3.89e-05,4.59
2521,communications,3.89e-05,4.59
2522,concerns,3.89e-05,4.59
2523,controlled,3.89e-05,4.59
2524,corporation,3.89e-05,4.59
2525,cry,3.89e-05,4.59
2526,danger,3.89e-05,4.59
2527,deals,3.89e-05,4.59
2528,delivery,3.89e-05,4.59
2529,deserve,3.89e-05,4.59
2530,devices,3.89e-05,4.59
2531,dollar,3.89e-05,4.59
2532,dreams,3.89e-05,4.59
2533,empty,3.89e-05,4.59
2534,enjoyed,3.89e-05,4.59
2535,explained,3.89e-05,4.59
2536,faces,3.89e-05,4.59
2537,folks,3.89e-05,4.59
2538,fucked,3.89e-05,4.59
2539,gender,3.89e-05,4.59
2540,instance,3.89e-05,4.59
2541,kim,3.89e-05,4.59
2542,kinda,3.89e-05,4.59
2543,matches,3.89e-05,4.59
2544,mile,3.89e-05,4.59
2545,motion,3.89e-05,4.59
2546,moves,3.89e-05,4.59
2547,nick,3.89e-05,4.59
2548,pacific,3.89e-05,4.59
2549,prize,3.89e-05,4.59
2550,realized,3.89e-05,4.59
2551,reasonable,3.89e-05,4.59
2552,receiving,3.89e-05,4.59
2553,register,3.89e-05,4.59
2554,resolution,3.89e-05,4.59
2555,rural,3.89e-05,4.59
2556,ryan,3.89e-05,4.59
2557,saving,3.89e-05,4.59
2558,sees,3.89e-05,4.59
2559,singing,3.89e-05,4.59
2560,spain,3.89e-05,4.59
2561,tools,3.89e-05,4.59
2562,typical,3.89e-05,4.59
2563,universe,3.89e-05,4.59
2564,warning,3.89e-05,4.59
2565,wars,3.89e-05,4.59
2566,wednesday,3.89e-05,4.59
2567,admit,3.8e-05,4.58
2568,attitude,3.8e-05,4.58
2569,branch,3.8e-05,4.58
2570,brazil,3.8e-05,4.58
2571,conducted,3.8e-05,4.58
2572,decades,3.8e-05,4.58
2573,dedicated,3.8e-05,4.58
2574,definition,3.8e-05,4.58
2575,drawing,3.8e-05,4.58
2576,favor,3.8e-05,4.58
2577,flag,3.8e-05,4.58
2578,frame,3.8e-05,4.58
2579,guest,3.8e-05,4.58
2580,ha,3.8e-05,4.58
2581,heaven,3.8e-05,4.58
2582,independence,3.8e-05,4.58
2583,institutions,3.8e-05,4.58
2584,it'll,3.8e-05,4.58
2585,jackson,3.8e-05,4.58
2586,kiss,3.8e-05,4.58
2587,load,3.8e-05,4.58
2588,plot,3.8e-05,4.58
2589,possibility,3.8e-05,4.58
2590,random,3.8e-05,4.58
2591,recovery,3.8e-05,4.58
2592,rent,3.8e-05,4.58
2593,replace,3.8e-05,4.58
2594,represent,3.8e-05,4.58
2595,reviews,3.8e-05,4.58
2596,scenes,3.8e-05,4.58
2597,seeking,3.8e-05,4.58
2598,senator,3.8e-05,4.58
2599,sentence,3.8e-05,4.58
2600,teeth,3.8e-05,4.58
2601,tips,3.8e-05,4.58
2602,trained,3.8e-05,4.58
2603,understood,3.8e-05,4.58
2604,academic,3.72e-05,4.57
2605,academy,3.72e-05,4.57
2606,accurate,3.72e-05,4.57
2607,achieve,3.72e-05,4.57
2608,adam,3.72e-05,4.57
2609,afford,3.72e-05,4.57
2610,andrew,3.72e-05,4.57
2611,assume,3.72e-05,4.57
2612,bbc,3.72e-05,4.57
2613,bottle,3.72e-05,4.57
2614,bunch,3.72e-05,4.57
2615,category,3.72e-05,4.57
2616,chat,3.72e-05,4.57
2617,cheese,3.72e-05,4.57
2618,chemical,3.72e-05,4.57
2619,clinton,3.72e-05,4.57
2620,competitive,3.72e-05,4.57
2621,detail,3.72e-05,4.57
2622,diet,3.72e-05,4.57
2623,em,3.72e-05,4.57
2624,favourite,3.72e-05,4.57
2625,fruit,3.72e-05,4.57
2626,harder,3.72e-05,4.57
2627,he'd,3.72e-05,4.57
2628,index,3.72e-05,4.57
2629,item,3.72e-05,4.57
2630,lane,3.72e-05,4.57
2631,mess,3.72e-05,4.57
2632,navy,3.72e-05,4.57
2633,normally,3.72e-05,4.57
2634,occurred,3.72e-05,4.57
2635,opposition,3.72e-05,4.57
2636,parent,3.72e-05,4.57
2637,permanent,3.72e-05,4.57
2638,personally,3.72e-05,4.57
2639,pleasure,3.72e-05,4.57
2640,prefer,3.72e-05,4.57
2641,programme,3.72e-05,4.57
2642,representative,3.72e-05,4.57
2643,scheme,3.72e-05,4.57
2644,shift,3.72e-05,4.57
2645,stood,3.72e-05,4.57
2646,storage,3.72e-05,4.57
2647,tank,3.72e-05,4.57
2648,tend,3.72e-05,4.57
2649,tight,3.72e-05,4.57
2650,transportation,3.72e-05,4.57
2651,ultimately,3.72e-05,4.57
2652,unlike,3.72e-05,4.57
2653,weekly,3.72e-05,4.57
2654,yard,3.72e-05,4.57
2655,anybody,3.63e-05,4.56
2656,assets,3.63e-05,4.56
2657,basketball,3.63e-05,4.56
2658,button,3.63e-05,4.56
2659,candidates,3.63e-05,4.56
2660,combat,3.63e-05,4.56
2661,constitution,3.63e-05,4.56
2662,consumer,3.63e-05,4.56
2663,counter,3.63e-05,4.56
2664,creation,3.63e-05,4.56
2665,crown,3.63e-05,4.56
2666,crying,3.63e-05,4.56
2667,dc,3.63e-05,4.56
2668,defined,3.63e-05,4.56
2669,depending,3.63e-05,4.56
2670,depression,3.63e-05,4.56
2671,describe,3.63e-05,4.56
2672,drivers,3.63e-05,4.56
2673,el,3.63e-05,4.56
2674,employment,3.63e-05,4.56
2675,exclusive,3.63e-05,4.56
2676,excuse,3.63e-05,4.56
2677,expert,3.63e-05,4.56
2678,frequently,3.63e-05,4.56
2679,golf,3.63e-05,4.56
2680,grace,3.63e-05,4.56
2681,hopefully,3.63e-05,4.56
2682,identify,3.63e-05,4.56
2683,importance,3.63e-05,4.56
2684,kevin,3.63e-05,4.56
2685,laid,3.63e-05,4.56
2686,latter,3.63e-05,4.56
2687,manufacturing,3.63e-05,4.56
2688,mining,3.63e-05,4.56
2689,object,3.63e-05,4.56
2690,partners,3.63e-05,4.56
2691,pattern,3.63e-05,4.56
2692,performing,3.63e-05,4.56
2693,personnel,3.63e-05,4.56
2694,perspective,3.63e-05,4.56
2695,pregnant,3.63e-05,4.56
2696,premier,3.63e-05,4.56
2697,promote,3.63e-05,4.56
2698,q,3.63e-05,4.56
2699,revolution,3.63e-05,4.56
2700,rooms,3.63e-05,4.56
2701,severe,3.63e-05,4.56
2702,sleeping,3.63e-05,4.56
2703,suppose,3.63e-05,4.56
2704,tool,3.63e-05,4.56
2705,tournament,3.63e-05,4.56
2706,turkey,3.63e-05,4.56
2707,ve,3.63e-05,4.56
2708,victim,3.63e-05,4.56
2709,victims,3.63e-05,4.56
2710,4th,3.55e-05,4.55
2711,agents,3.55e-05,4.55
2712,amazon,3.55e-05,4.55
2713,arrest,3.55e-05,4.55
2714,attend,3.55e-05,4.55
2715,ban,3.55e-05,4.55
2716,brilliant,3.55e-05,4.55
2717,carbon,3.55e-05,4.55
2718,catholic,3.55e-05,4.55
2719,chose,3.55e-05,4.55
2720,circle,3.55e-05,4.55
2721,concert,3.55e-05,4.55
2722,crash,3.55e-05,4.55
2723,declared,3.55e-05,4.55
2724,deliver,3.55e-05,4.55
2725,depth,3.55e-05,4.55
2726,deputy,3.55e-05,4.55
2727,dirty,3.55e-05,4.55
2728,doctors,3.55e-05,4.55
2729,earned,3.55e-05,4.55
2730,electronic,3.55e-05,4.55
2731,error,3.55e-05,4.55
2732,existence,3.55e-05,4.55
2733,experiences,3.55e-05,4.55
2734,expression,3.55e-05,4.55
2735,factory,3.55e-05,4.55
2736,headed,3.55e-05,4.55
2737,interior,3.55e-05,4.55
2738,joy,3.55e-05,4.55
2739,jr,3.55e-05,4.55
2740,legislation,3.55e-05,4.55
2741,maintenance,3.55e-05,4.55
2742,manner,3.55e-05,4.55
2743,mate,3.55e-05,4.55
2744,matt,3.55e-05,4.55
2745,nearby,3.55e-05,4.55
2746,noise,3.55e-05,4.55
2747,origin,3.55e-05,4.55
2748,pakistan,3.55e-05,4.55
2749,panel,3.55e-05,4.55
2750,personality,3.55e-05,4.55
2751,plate,3.55e-05,4.55
2752,practices,3.55e-05,4.55
2753,prepare,3.55e-05,4.55
2754,relief,3.55e-05,4.55
2755,replaced,3.55e-05,4.55
2756,resistance,3.55e-05,4.55
2757,retail,3.55e-05,4.55
2758,rice,3.55e-05,4.55
2759,roads,3.55e-05,4.55
2760,roof,3.55e-05,4.55
2761,shame,3.55e-05,4.55
2762,ships,3.55e-05,4.55
2763,somewhat,3.55e-05,4.55
2764,staying,3.55e-05,4.55
2765,stronger,3.55e-05,4.55
2766,surely,3.55e-05,4.55
2767,tip,3.55e-05,4.55
2768,updated,3.55e-05,4.55
2769,writers,3.55e-05,4.55
2770,absolute,3.47e-05,4.54
2771,advertising,3.47e-05,4.54
2772,agencies,3.47e-05,4.54
2773,baseball,3.47e-05,4.54
2774,bathroom,3.47e-05,4.54
2775,bible,3.47e-05,4.54
2776,cable,3.47e-05,4.54
2777,calm,3.47e-05,4.54
2778,championship,3.47e-05,4.54
2779,checked,3.47e-05,4.54
2780,client,3.47e-05,4.54
2781,constant,3.47e-05,4.54
2782,da,3.47e-05,4.54
2783,dates,3.47e-05,4.54
2784,degrees,3.47e-05,4.54
2785,democrats,3.47e-05,4.54
2786,doors,3.47e-05,4.54
2787,driven,3.47e-05,4.54
2788,dumb,3.47e-05,4.54
2789,empire,3.47e-05,4.54
2790,exciting,3.47e-05,4.54
2791,expansion,3.47e-05,4.54
2792,he'll,3.47e-05,4.54
2793,heavily,3.47e-05,4.54
2794,hide,3.47e-05,4.54
2795,incident,3.47e-05,4.54
2796,irish,3.47e-05,4.54
2797,linked,3.47e-05,4.54
2798,manage,3.47e-05,4.54
2799,messages,3.47e-05,4.54
2800,michigan,3.47e-05,4.54
2801,multi,3.47e-05,4.54
2802,nfl,3.47e-05,4.54
2803,politicians,3.47e-05,4.54
2804,print,3.47e-05,4.54
2805,quit,3.47e-05,4.54
2806,refused,3.47e-05,4.54
2807,reporting,3.47e-05,4.54
2808,sight,3.47e-05,4.54
2809,significantly,3.47e-05,4.54
2810,sing,3.47e-05,4.54
2811,soviet,3.47e-05,4.54
2812,weapon,3.47e-05,4.54
2813,wet,3.47e-05,4.54
2814,widely,3.47e-05,4.54
2815,worldwide,3.47e-05,4.54
2816,ages,3.39e-05,4.53
2817,anniversary,3.39e-05,4.53
2818,attractive,3.39e-05,4.53
2819,bike,3.39e-05,4.53
2820,broad,3.39e-05,4.53
2821,burn,3.39e-05,4.53
2822,cake,3.39e-05,4.53
2823,causing,3.39e-05,4.53
2824,closely,3.39e-05,4.53
2825,constantly,3.39e-05,4.53
2826,contest,3.39e-05,4.53
2827,deaths,3.39e-05,4.53
2828,depends,3.39e-05,4.53
2829,drawn,3.39e-05,4.53
2830,e.g,3.39e-05,4.53
2831,fees,3.39e-05,4.53
2832,francisco,3.39e-05,4.53
2833,haha,3.39e-05,4.53
2834,hardly,3.39e-05,4.53
2835,hat,3.39e-05,4.53
2836,height,3.39e-05,4.53
2837,hidden,3.39e-05,4.53
2838,hong,3.39e-05,4.53
