learning_rank,word,wf_rank,wf_pct,wf_zipf,sub_rank,sub_pct,sub_zipf,ox_cefr,ox_pos,learning_score
4983,lawsuit,6159,0.02,4.09,7120,0.01,3.8,B2,noun,0.018634
4984,setup,6181,0.02,4.09,7102,0.01,3.8,,,0.018634
4985,explode,9605,0.01,3.8,4400,0.03,4.09,B2,verb,0.018634
4986,luggage,9624,0.01,3.8,4450,0.03,4.09,B1,noun,0.018634
4987,documents,2291,0.08,4.64,3223,0.04,4.27,,,0.018643
4988,happened,634,0.29,5.2,213,1.31,5.76,,,0.018648
4989,ideal,3369,0.05,4.44,4390,0.03,4.1,A1,adjective,0.018648
4990,masses,7814,0.02,3.94,8634,0.01,3.67,,,0.018649
4991,phrase,4320,0.04,4.3,5346,0.02,3.98,B1,noun,0.01867
4992,further,490,0.38,5.31,1149,0.15,4.83,B1,"adjective, adverb",0.018673
4993,academy,2605,0.07,4.57,3574,0.04,4.21,B1,noun,0.01868
4994,operative,8836,0.01,3.86,9679,0.01,3.6,,,0.018688
4995,relay,8849,0.01,3.86,9654,0.01,3.6,B2,noun,0.018688
4996,regular,1205,0.17,4.95,2038,0.08,4.53,A2,adjective,0.018694
4997,enters,7009,0.02,4.01,7960,0.01,3.73,,,0.018695
4998,racing,3017,0.06,4.5,3955,0.03,4.15,,,0.018711
4999,visited,3033,0.06,4.5,3964,0.03,4.15,,,0.018711
5000,disappeared,4594,0.03,4.26,1695,0.1,4.63,,,0.018727
5001,confirmation,6226,0.02,4.08,7263,0.01,3.79,B1,noun,0.018729
5002,overwhelming,6274,0.02,4.08,7290,0.01,3.79,B1,adjective,0.018729
5003,denied,3422,0.05,4.43,4458,0.03,4.09,,,0.018735
5004,understanding,1620,0.12,4.82,2501,0.06,4.42,B2,"adjective, noun",0.01874
5005,jo,6799,0.02,4.03,2752,0.05,4.36,,,0.018752
5006,amateur,4913,0.03,4.22,5972,0.02,3.91,,,0.01876
5007,evans,4943,0.03,4.22,6023,0.02,3.91,,,0.01876
5008,fluid,4946,0.03,4.22,5943,0.02,3.91,B2,adjective,0.01876
5009,image,1225,0.16,4.94,2060,0.08,4.52,A2,noun,0.018773
5010,anyway,1293,0.15,4.91,420,0.58,5.41,A2,adverb,0.018779
5011,spinal,8985,0.01,3.85,9692,0.01,3.59,,,0.018788
5012,wait,451,0.42,5.35,150,2.0,5.95,A1,"noun, verb",0.018796
5013,billion,1811,0.1,4.75,2736,0.05,4.36,B2,noun,0.018797
5014,unique,1845,0.1,4.75,2734,0.05,4.36,B1,adjective,0.018797
5015,vast,3096,0.06,4.49,4094,0.03,4.14,B1,adjective,0.018798
5016,screw,4710,0.03,4.25,1739,0.09,4.62,B2,"noun, verb",0.018811
5017,west,521,0.36,5.29,1193,0.15,4.81,A2,"adjective, adverb, noun",0.018822
5018,steal,3585,0.05,4.41,1211,0.14,4.81,A2,verb,0.018822
5019,explains,3492,0.05,4.42,4509,0.03,4.08,,,0.018824
5020,wanna,982,0.2,5.04,313,0.84,5.57,,,0.018832
5021,coast,1420,0.14,4.87,2328,0.06,4.46,B1,"noun, verb",0.01884
5022,therefore,1440,0.14,4.87,2313,0.07,4.46,A2,adverb,0.01884
