word,cefr,pos,voice_url
archive,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arc/archi/archive__us_1.ogg
arguably,C1,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arg/argua/arguably__us_1.ogg
arms,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arm/arms_/arms__us_1.ogg
array,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/array/array__us_1.ogg
artwork,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/artwo/artwork__us_1.ogg
assassination,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assas/assassination__us_1.ogg
assertion,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/asser/assertion__us_1.ogg
asset,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/asset/asset__us_1.ogg
associated,B2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assoc/associated__us_4.ogg
asylum,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asy/asylu/asylum__us_1.ogg
atrocity,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/atr/atroc/atrocity__us_1.ogg
attorney,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attor/attorney__us_1.ogg
auction,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/auc/aucti/auction__us_1.ogg
authentic,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/authe/authentic__us_1.ogg
authorize,C1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autho/authorize__us_1.ogg
auto,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/auto_/auto__us_1.ogg
autonomy,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/auton/autonomy__us_1.ogg
backdrop,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/backd/backdrop__us_1.ogg
backing,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/backi/backing__us_1.ogg
backwards,B1,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/backw/backwards__us_1.ogg
bacteria,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/bacte/bacteria__us_2.ogg
bail,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bai/bail_/bail__us_1.ogg
banner,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ban/banne/banner__us_1.ogg
based,A2,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/based/based__us_1.ogg
bass,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/bass_/bass__us_1.ogg
behaviour,A2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/beh/behav/behaviour__us_2.ogg
benchmark,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ben/bench/benchmark__us_1.ogg
beneficiary,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ben/benef/beneficiary__us_1_rr.ogg
bias,B2,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bia/bias_/bias__us_1.ogg
born,A1,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bor/born_/born__us_1.ogg
boundary,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bou/bound/boundary__us_1.ogg
breach,C1,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/breac/breach__us_1.ogg
breathing,B1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bre/breat/breathing__us_1.ogg
brutal,C1,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bru/bruta/brutal__us_1.ogg
buck,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/buc/buck_/buck__us_1.ogg
buffer,C1,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/buf/buffe/buffer__us_1.ogg
