word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
administration,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administration__us_1.ogg
administrative,B2,C1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrative__us_1_rr.ogg
admire,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admir/admire__us_1.ogg
admission,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admis/admission__us_1.ogg
admit,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admit/admit__us_2.ogg
adopt,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adopt__us_1.ogg
adoption,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adoption__us_1.ogg
advance,B1,B2,verb,"adjective, noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advanced,A2,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advanced__us_1.ogg
adverse,B2,C1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/adverse__us_2_rr.ogg
advertise,B1,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertise__us_1.ogg
advice,A2,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advic/advice__us_1.ogg
advise,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advis/advise__us_1.ogg
affair,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affai/affair__us_2.ogg
affect,B1,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affect__us_1.ogg
affection,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affection__us_1.ogg
after,A1,A2,preposition,"adverb, conjunction, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
afterwards,B1,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/afterwards__us_2.ogg
aged,A2,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/aged_/aged__us_1.ogg
agency,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agenc/agency__us_2.ogg
agenda,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agend/agenda__us_2.ogg
agent,A2,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agent/agent__us_2.ogg
aggressive,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agg/aggre/aggressive__us_1.ogg
agricultural,B1,C1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agric/agricultural__us_1.ogg
agriculture,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agric/agriculture__us_1.ogg
ahead,A2,B1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ahe/ahead/ahead__us_1.ogg
aid,B1,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aid/aid__/aid__us_1.ogg
aim,B2,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aim/aim__/aim__us_1.ogg
air,A2,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/air/air__/air__us_1.ogg
airline,B1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/air/airli/airline__us_1.ogg
album,A1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alb/album/album__us_2.ogg
alcoholic,B2,B1,noun,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alc/alcoh/alcoholic__us_2_rr.ogg
alert,B2,C1,verb,"adjective, noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ale/alert/alert__us_1.ogg
alike,B1,C1,adverb,"adjective, adverb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ali/alike/alike__us_1.ogg
all,A1,A2,pronoun,"adverb, determiner, pronoun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all__/all__us_1.ogg
all right,A1,A2,adverb,"adjective, adverb, exclamation",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_r/all_right_1_us_3.ogg
allegation,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/alleg/allegation__us_1.ogg
alliance,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/allia/alliance__us_1.ogg
allowance,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/allow/allowance__us_1.ogg
ally,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/ally_/ally__us_1.ogg
almost,A1,A2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alm/almos/almost__us_1_rr.ogg
alone,A1,A2,adverb,"adjective, adverb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alo/alone/alone__us_1.ogg
already,A1,A2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alr/alrea/already__us_3.ogg
altogether,B1,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alt/altog/altogether__us_1_rr.ogg
amazing,B1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ama/amazi/amazing__us_2.ogg
ambassador,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amb/ambas/ambassador__us_1_rr.ogg
ambition,A2,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amb/ambit/ambition__us_2.ogg
ambulance,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amb/ambul/ambulance__us_1.ogg
amount,B1,A2,noun,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amo/amoun/amount__us_1.ogg
amusing,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amu/amusi/amusing__us_1.ogg
analogy,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ana/analo/analogy__us_1.ogg
ancestor,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/anc/ances/ancestor__us_1.ogg
anchor,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/anc/ancho/anchor__us_1.ogg
angel,A2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ang/angel/angel__us_1.ogg
anger,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ang/anger/anger__us_2.ogg
angle,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ang/angle/angle__us_1.ogg
angrily,A2,,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ang/angri/angrily__us_1.ogg
animation,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ani/anima/animation__us_1.ogg
anniversary,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/anniv/anniversary__us_1.ogg
