word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
along,A2,A2,preposition,"adverb, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alo/along/along__us_2.ogg
alongside,B2,B2,preposition,preposition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alo/along/alongside__us_2.ogg
also,A1,A1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/als/also_/also__us_3.ogg
alter,B2,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alt/alter/alter__us_4.ogg
alternative,B1,B1,noun,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alt/alter/alternative__us_1.ogg
although,A2,A2,conjunction,conjunction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alt/altho/although__us_3.ogg
always,A1,A1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alw/alway/always__us_1_rr.ogg
amazed,B1,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ama/amaze/amazed__us_2.ogg
ambitious,B1,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amb/ambit/ambitious__us_2.ogg
among,A2,A2,preposition,preposition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/amo/among/among__us_2.ogg
analysis,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ana/analy/analysis__us_2.ogg
analyst,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ana/analy/analyst__us_1.ogg
ancient,A2,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/anc/ancie/ancient__us_1.ogg
and,A1,A1,conjunction,conjunction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/and/and__/and__us_1.ogg
angry,A1,A1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ang/angry/angry__us_1.ogg
animal,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ani/anima/animal__us_1.ogg
ankle,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ank/ankle/ankle__us_1.ogg
announce,B1,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annou/announce__us_1.ogg
announcement,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annou/announcement__us_1.ogg
annoyed,B1,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ann/annoy/annoyed__us_3.ogg
answer,A1,A1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ans/answe/answer__us_1.ogg
anticipate,B2,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ant/antic/anticipate__us_1.ogg
anyone,A1,A1,pronoun,pronoun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anyon/anyone__us_1_rr.ogg
anything,A1,A1,pronoun,pronoun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anyth/anything__us_1.ogg
anyway,A2,A2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anywa/anyway__us_1.ogg
anywhere,A2,A2,adverb,"adverb, pronoun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anywh/anywhere__us_1.ogg
appeal,B2,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appea/appeal__us_2.ogg
appear,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appea/appear__us_2.ogg
appearance,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appea/appearance__us_1.ogg
apple,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/apple/apple__us_1.ogg
applicant,B2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appli/applicant__us_1.ogg
application,B1,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appli/application__us_2.ogg
apply,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/apply/apply__us_1.ogg
approach,B2,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/approach__us_1.ogg
appropriately,B2,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/appropriately__us_1.ogg
approximately,B1,B1,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appro/approximately__us_1.ogg
april,A1,A1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/apr/april/april__us_1.ogg
architecture,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arc/archi/architecture__us_1.ogg
argue,A2,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arg/argue/argue__us_2.ogg
argument,A2,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arg/argum/argument__us_1.ogg
around,A1,A1,preposition,"adverb, preposition",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aro/aroun/around__us_2.ogg
