rank,word,pos,cefr,frequency,zipf
121,why,adverb,A1,0.000851,5.93
122,still,"adjective, adverb",A2,0.000832,5.92
123,take,"noun, verb",A1,0.000832,5.92
124,many,"determiner, pronoun",A1,0.000813,5.91
125,never,adverb,A1,0.000813,5.91
126,make-up,noun,A2,0.000807,5.91
127,those,"determiner, pronoun",A1,0.000794,5.9
128,life,noun,A1,0.000776,5.89
129,say,"noun, verb",A1,0.000776,5.89
130,world,noun,A1,0.000776,5.89
131,down,"adjective, adverb, preposition",A2,0.000759,5.88
132,great,adjective,A1,0.000759,5.88
133,through,"adverb, preposition",A1,0.000741,5.87
134,last,"adverb, determiner, pronoun, verb",B1,0.000724,5.86
135,'s,be-verb,A1,0.000724,5.86
136,while,"conjunction, noun",B1,0.000724,5.86
137,all right,"adjective, adverb",A1,0.000715,5.85
138,best,"adjective, adverb",A1,0.000692,5.84
139,such,"determiner, pronoun",A2,0.000692,5.84
140,love,"noun, verb",A1,0.000661,5.82
141,man,noun,A1,0.000661,5.82
142,home,"adverb, noun",A1,0.000646,5.81
143,long,"adjective, adverb",A2,0.000646,5.81
144,look,"noun, verb",A1,0.000646,5.81
145,something,pronoun,A1,0.000646,5.81
146,use,"noun, verb",A1,0.000646,5.81
147,same,"adjective, adverb, pronoun",A1,0.000631,5.8
148,used,adjective,A2,0.000631,5.8
149,both,"adverb, determiner, pronoun",A1,0.000617,5.79
150,every,determiner,A1,0.000617,5.79
151,used to,modal auxiliary,B1,0.000617,5.79
152,am,be-verb,A1,0.000603,5.78
153,come,verb,A1,0.000603,5.78
154,part,"noun, verb",B2,0.000603,5.78
155,state,"adjective, noun, verb",B2,0.000603,5.78
156,three,number,A1,0.000603,5.78
157,around,"adverb, preposition",A1,0.000589,5.77
158,between,preposition,A1,0.000589,5.77
159,always,adverb,A1,0.000575,5.76
160,better,"adjective, adverb",A2,0.000575,5.76
161,find,verb,A1,0.000575,5.76
162,help,"noun, verb",A1,0.000562,5.75
163,high,"adjective, adverb",A2,0.000562,5.75
164,little,"adjective, adverb, determiner, pronoun",B1,0.000562,5.75
165,old,adjective,A1,0.000562,5.75
166,since,"adverb, conjunction, preposition",A2,0.000562,5.75
167,another,"determiner, pronoun",A2,0.00055,5.74
168,does,do-verb,A1,0.00055,5.74
169,own,"adjective, pronoun, verb",B1,0.00055,5.74
170,under,preposition,A1,0.000537,5.73
171,during,preposition,A2,0.000525,5.72
172,game,noun,A1,0.000525,5.72
173,thing,noun,A1,0.000525,5.72
174,give,verb,A1,0.000513,5.71
175,house,noun,A1,0.000513,5.71
176,place,"noun, verb",B1,0.000513,5.71
177,school,noun,A1,0.000513,5.71
178,again,adverb,A1,0.000501,5.7
179,next,"adverb, determiner, pronoun",B2,0.000501,5.7
180,next to,preposition,A2,0.000492,5.69
181,each,"determiner, pronoun",A1,0.00049,5.69
182,without,preposition,A2,0.00049,5.69
183,against,preposition,A2,0.000479,5.68
184,end,"noun, verb",A2,0.000479,5.68
185,found,verb,B2,0.000479,5.68
186,must,modal auxiliary,A1,0.000479,5.68
187,show,"noun, verb",A1,0.000479,5.68
188,big,adjective,A1,0.000468,5.67
189,feel,"noun, verb",A1,0.000468,5.67
190,sure,"adjective, adverb",A2,0.000468,5.67
191,team,noun,A1,0.000468,5.67
192,part-time,"adjective, adverb",B1,0.00046,5.66
193,ever,adverb,A2,0.000457,5.66
194,family,noun,A1,0.000457,5.66
195,keep,verb,A1,0.000457,5.66
196,might,modal auxiliary,A2,0.000457,5.66
197,please,"adverb, verb",B1,0.000457,5.66
198,put,verb,A1,0.000457,5.66
199,money,noun,A1,0.000437,5.64
200,free,"adjective, adverb, verb",B2,0.000427,5.63
201,second,"adjective, adverb, noun, pronoun",A2,0.000427,5.63
202,someone,pronoun,A1,0.000427,5.63
203,away,adverb,A1,0.000417,5.62
204,left,"adjective, adverb, noun",A2,0.000417,5.62
205,number,noun,A1,0.000417,5.62
206,city,noun,A1,0.000407,5.61
207,lot,"adverb, noun, pronoun",A1,0.000407,5.61
208,name,"noun, verb",B1,0.000407,5.61
209,night,noun,A1,0.000407,5.61
210,play,"noun, verb",A1,0.000407,5.61
211,until,"conjunction, preposition",A1,0.000407,5.61
212,company,noun,A2,0.000398,5.6
213,doing,do-verb,A1,0.000398,5.6
214,few,"determiner, pronoun",B1,0.000398,5.6
215,let,verb,A1,0.000398,5.6
216,real,"adjective, adverb",A1,0.000398,5.6
217,different,adjective,A1,0.000389,5.59
218,set,"noun, verb",A1,0.000389,5.59
219,thought,noun,A2,0.000389,5.59
220,done,do-verb,A2,0.00038,5.58
221,however,adverb,A2,0.00038,5.58
222,god,noun,B2,0.000372,5.57
223,government,noun,A2,0.000372,5.57
224,group,"noun, verb",B1,0.000372,5.57
225,public,"adjective, noun",A2,0.000372,5.57
226,top,"adjective, noun",A1,0.000372,5.57
227,each other,pronoun,A1,0.000366,5.56
228,business,noun,A1,0.000363,5.56
229,care,"noun, verb",B1,0.000363,5.56
230,start,"noun, verb",A1,0.000363,5.56
231,system,noun,A2,0.000363,5.56
232,times,preposition,B2,0.000363,5.56
233,week,noun,A1,0.000363,5.56
234,already,adverb,A1,0.000355,5.55
235,anything,pronoun,A1,0.000355,5.55
236,case,noun,A1,0.000355,5.55
237,nothing,pronoun,A1,0.000355,5.55
238,person,noun,A1,0.000355,5.55
239,today,"adverb, noun",A1,0.000355,5.55
240,so-called,adjective,B2,0.000348,5.54
241,change,"noun, verb",A1,0.000347,5.54
242,enough,"adverb, determiner, pronoun",A2,0.000347,5.54
243,everything,pronoun,A1,0.000347,5.54
244,full,adjective,A1,0.000347,5.54
245,live,"adjective, verb",A1,0.000347,5.54
246,point,"noun, verb",A2,0.000347,5.54
247,read,verb,A1,0.000347,5.54
248,yet,"adverb, conjunction",B1,0.000347,5.54
249,bad,adjective,A1,0.000339,5.53
250,four,number,A1,0.000339,5.53
251,hard,"adjective, adverb",A1,0.000339,5.53
252,mean,"adjective, noun, verb",A1,0.000339,5.53
253,once,"adverb, conjunction",B2,0.000339,5.53
254,support,"noun, verb",B1,0.000339,5.53
255,tell,verb,A1,0.000339,5.53
256,including,preposition,B1,0.000331,5.52
257,music,noun,A1,0.000331,5.52
258,power,noun,A2,0.000331,5.52
259,stop,"noun, verb",A1,0.000331,5.52
260,water,"noun, verb",B2,0.000331,5.52
261,believe,verb,A1,0.000324,5.51
262,call,"noun, verb",A2,0.000324,5.51
263,head,"noun, verb",A2,0.000324,5.51
264,national,adjective,A2,0.000324,5.51
265,small,adjective,A1,0.000324,5.51
266,white,"adjective, noun",A1,0.000324,5.51
267,far,"adjective, adverb",A2,0.000316,5.5
268,job,noun,A1,0.000316,5.5
269,side,noun,A1,0.000316,5.5
270,though,"adverb, conjunction",A2,0.000316,5.5
271,try,"noun, verb",A2,0.000316,5.5
272,yes,adverb,A1,0.000316,5.5
273,good night,interjection,A1,0.000311,5.49
274,first name,noun,A2,0.00031,5.49
275,actually,adverb,A2,0.000309,5.49
276,later,"adjective, adverb",A1,0.000309,5.49
277,less,"adverb, determiner, pronoun",A2,0.000309,5.49
278,line,"noun, verb",B2,0.000309,5.49
279,order,"noun, verb",A2,0.000309,5.49
280,party,noun,A1,0.000309,5.49
281,run,"noun, verb",A1,0.000309,5.49
282,service,"noun, verb",B1,0.000309,5.49
283,country,noun,A2,0.000302,5.48
284,open,"adjective, verb",A1,0.000302,5.48
285,season,noun,B1,0.000302,5.48
286,thank,verb,A1,0.000302,5.48
287,everyone,pronoun,A1,0.000295,5.47
288,general,"adjective, noun",B1,0.000295,5.47
289,united,adjective,B2,0.000295,5.47
290,full-time,"adjective, adverb",B1,0.000294,5.47
291,good-looking,adjective,A2,0.00029,5.46
292,area,noun,A2,0.000288,5.46
293,black,"adjective, noun",A1,0.000288,5.46
294,following,"adjective, preposition",B2,0.000288,5.46
295,law,noun,A2,0.000288,5.46
296,together,adverb,A1,0.000288,5.46
297,war,noun,A1,0.000288,5.46
298,whole,"adjective, noun",B1,0.000288,5.46
299,car,noun,A1,0.000282,5.45
300,face,"noun, verb",A2,0.000282,5.45
301,five,number,A1,0.000282,5.45
302,kind,"adjective, noun",A1,0.000282,5.45
303,maybe,adverb,A1,0.000282,5.45
304,per,preposition,B1,0.000282,5.45
305,president,noun,B1,0.000282,5.45
306,story,noun,A1,0.000282,5.45
307,working,adjective,B1,0.000282,5.45
308,first person,noun,B2,0.000278,5.44
309,course,noun,A1,0.000275,5.44
310,health,noun,A1,0.000275,5.44
311,hope,"noun, verb",B1,0.000275,5.44
312,important,adjective,A1,0.000275,5.44
313,least,"adverb, determiner, pronoun",B2,0.000275,5.44
314,means,noun,B2,0.000275,5.44
315,news,noun,A1,0.000275,5.44
316,within,preposition,A2,0.000275,5.44
317,able,adjective,B1,0.000269,5.43
318,book,"noun, verb",B1,0.000269,5.43
319,early,"adjective, adverb",A1,0.000269,5.43
320,information,noun,A1,0.000269,5.43
321,local,adjective,A2,0.000269,5.43
322,post,"noun, verb",A2,0.000269,5.43
